Key,schinese
MPL_AreaRug21_3x3c,地毯
MPL_AreaRug22_3x3,地毯
MPL_AreaRug22_3x3c,地毯
MPL_CoffeeTable04,咖啡桌
MPL_CoffeeTable05,咖啡桌
MPL_DiningChair01,餐椅
MPL_DiningChairFallenFront,餐椅
MPL_DiningChairFallenSide,餐椅
MPL_DogsPoker,狗扑克挂毯
MPL_DogsPool,狗游泳池挂毯
MPL_EamesChair01,伊姆斯椅
MPL_EamesChair02,伊姆斯椅
MPL_EamesDiningChairRed01,红色伊姆斯餐椅
MPL_EamesFootstool01,伊姆斯脚凳
MPL_EamesFootstool02,伊姆斯脚凳
MPL_EamesKitchenChair02,伊姆斯厨房椅
MPL_LazyBoy01_Burgendy,懒人椅（勃艮第色）
MPL_LC4,LC4 沙发
MPL_LiveEdgeCoffeeTable01,实木边咖啡桌
MPL_LiveEdgeDesk01,实木边书桌
MPL_LiveEdgeDesk01_offset,实木边书桌
MPL_LiveEdgeTable01,实木边餐桌
MPL_Mural_PietMondarain_02,皮埃特·蒙德里安壁画
MPL_Mural_PietMondarain_02_Offset,皮埃特·蒙德里安壁画（偏移）
MPL_Mural_PietMondarain_Offset,皮埃特·蒙德里安壁画（偏移）
MPL_Mural_PietMondrain,皮埃特·蒙德里安壁画
MPL_NoguchiCoffeeTable01,诺古奇咖啡桌
MPL_PatioChair,户外椅
MPL_PatioTable,户外桌
MPL_PictureMom,妈妈的照片
MPL_PorchSwing01,门廊秋千
MPL_RopeBridge,绳桥
MPL_TripodLamp,三脚灯
MPL_TulipTable,郁金香桌
MPL_WombChairGreen,绿色温姆椅
MPL_WombChairOrange,橙色温姆椅
MPL_WombStoolGreen,绿色温姆凳
MPL_WombStoolOrange,橙色温姆凳


District Zero,--------------------------------------------------------------------
autoMiner,自动采矿机
autoMinerDesc,"自动采矿机可以在一段时间内提取资源。需要气体供能。"
blastFurnace,高级锻造炉
blastFurnaceDesc,"用于熔炼金属以制作工具和武器或石头以制作水泥。通过增益解锁更多配方。安装工具以提高性能或解锁配方。\n可安装工具：喷吹管、预热器、坩埚"
cobaltShapes:VariantHelper,钴块
materialMcobalt_shapes,钴
scrapCobaltPile,钴废料堆
terrOreCobalt,钴矿石
terrOreStoneCobaltRandom,= 钴矿脉 = 辅助
oreCobaltBoulder,钴矿石巨石
cntSedanCarInsecure,生锈轿车
cntTruckInsecure,越野卡车
cntMuscleCarInsecure,肌肉车
cntPickupTruckInsecure,皮卡
cntSedanCar2Insecure,豪华轿车
cntHoverCarInsecure,悬浮车
cntRacingCarInsecure,赛车
cntArmoredHoverCarInsecure,装甲悬浮车
cntBlackMuscleCarInsecure,黑色肌肉车
cntGarbageTruckInsecure,垃圾车
cntMotorcycleInsecure,摩托车
cntHoverMotorcycleInsecure,悬浮摩托车
cntPoliceVehicleInsecure,警用无人机
cntPoliceVehicleUnlockedAlarm,警用无人机
signRadiation,辐射标志
cntBarrelRadiationSingle,辐射桶
cntBarrelRadiationSingleDesc,"辐射源，当靠近时会缓慢增加你的辐射水平。"
cntVendingMachine2BrokenLoot,"自动售货机，汽水故障"
cntVendingMachineEnergyBrokenLoot,"自动售货机，能量故障"
cntVendingMachineWaterBrokenLoot,"自动售货机，水故障"
cntSecureStorageWallSafeClosed,墙式保险箱
MPL_SecureOrbSafeClosed,球形保险箱
cntSecureStorageDeskSafeClosed,桌式保险箱
cntSecureStorageGunSafeClosedWhite,白色枪械保险箱
cntSecureStorageFootlockerClosedWhite,白色脚踏箱
cntSecureStorageFootlockerClosedArmyGreen,军绿色脚踏箱
cntSecureStorageWoodenChestClosed,木箱
cntSecureStorageWoodenChestRottenClosed,腐朽木箱
cntSecureStorageOldWestChestClosed,西部旧式木箱
cntSecureStorageWoodenChestMilitaryClosed,军用木箱
cntSecureStorageToolBoxClosedWhite,白色工具箱
cntSecureStorageRollingToolBoxClosedWhite,白色滚动工具箱
treeForestBeech00A,山毛榉树 00 A
treeForestBeech00B,山毛榉树 00 B
treeForestBeech00C,山毛榉树 00 C
treeForestBeech00D,山毛榉树 00 D
treeForestBeech01,山毛榉树 01
treeForestBeech02,山毛榉树 02
treeForestBeech03,山毛榉树 03
treeForestBeech04,山毛榉树 04
treeForestBeech05,山毛榉树 05
treeForestBeech06,山毛榉树 06
treeForestBeech07,山毛榉树 07
treeForestBeech08,山毛榉树 08
treeForestBeech09,山毛榉树 09
treeForestFir01,冷杉树 01
treeForestFir02,冷杉树 02
treeForestFir03,冷杉树 03
treeForestFir04,冷杉树 04
treeForestFir05,冷杉树 05
treeForestFir06,冷杉树 06
treeForestFir07,冷杉树 07
treeForestFir08,冷杉树 08
treeWinterFir01,冬季冷杉树 01
treeWinterFir02,冬季冷杉树 02
treeWinterFir03,冬季冷杉树 03
treeWinterFir04,冬季冷杉树 04
treeWinterFir05,冬季冷杉树 05
treeWinterFir06,冬季冷杉树 06
treeWinterFir07,冬季冷杉树 07
treeWinterFir08,冬季冷杉树 08
treePlantedSaplingBeech00,山毛榉种子
treePlantedSaplingFir00,冷杉种子
treePlantedSaplingWinterFir00,冬季冷杉种子
treePlantedForestBeech00,种植山毛榉树 00
treePlantedForestBeech01,种植山毛榉树 01
treePlantedForestBeech02,种植山毛榉树 02
treePlantedForestBeech03,种植山毛榉树 03
treePlantedForestFir00,种植冷杉树 00
treePlantedForestFir01,种植冷杉树 01
treePlantedForestFir02,种植冷杉树 02
treePlantedForestFir03,种植冷杉树 03
treePlantedWinterFir00,种植冬季冷杉树 00
treePlantedWinterFir01,种植冬季冷杉树 01
treePlantedWinterFir02,种植冬季冷杉树 02
treePlantedWinterFir03,种植冬季冷杉树 03
plantBeech00,山毛榉植物 00
plantBeech01,山毛榉植物 01
plantBeech02,山毛榉植物 02
plantBeech03,山毛榉植物 03
plantBlackBerry00,黑莓植物 00
plantBlackBerry01,黑莓植物 01
plantBlackBerry02,黑莓植物 02
plantBlackBerry03,黑莓植物 03
plantBlackBerry04,黑莓植物 04
plantBlackBerry05,黑莓植物 05
plantFern00,蕨类植物 00
plantFern01,蕨类植物 01
plantFern02,蕨类植物 02
plantFern03,蕨类植物 03
plantIvy00,常春藤植物 00
plantIvy01,常春藤植物 01
plantIvy02,常春藤植物 02
plantLilly00,百合植物 00
plantLilly01,百合植物 01
plantGalinsoga00,马齿苋植物 00
plantGalinsoga01,马齿苋植物 01
plantGalinsoga02,马齿苋植物 02
plantLeaves00,叶子 00
plantLeaves01,叶子 01
plantLeaves02,叶子 02
plantLeaves03,叶子 03
plantLeaves04,叶子 04
plantLeaves05,叶子 05
plantMoss00,苔藓 00
plantMoss01,苔藓 01
boulderResource00,资源巨石 00
boulderResource01,资源巨石 01
boulderResource02,资源巨石 02
boulderResource03,资源巨石 03
boulderResource04,资源巨石 04
boulderResource05,资源巨石 05
boulderResource06,资源巨石 06
boulderResource07,资源巨石 07
boulderResource08,资源巨石 08
boulderResource09,资源巨石 09
rockSmallResource00,小石头 00
rockSmallResource01,小石头 01
rockSmallResource02,小石头 02
rockSmallResource03,小石头 03
branch00,树枝 00
branch01,树枝 01
branch02,树枝 02
branch03,树枝 03
branch04,树枝 04
branch05,树枝 05
branch06,树枝 06
branch07,树枝 07
branch08,树枝 08
treeStump00,树桩 00
treeStump01,树桩 01
treeStump02,树桩 02
treeStump03,树桩 03
treeStump04,树桩 04
decoRoadRandomHelper,装饰道路随机辅助
treeLog00,树干 00
treeLog01,树干 01
cntBarrelGroupDesc,桶可以被掠夺，如果被敌人击中或被没有收获标签的工具（如枪）破坏，则会爆炸。\n玩家可能会根据桶的类型受到范围减益效果。
decoPumpkinJackOLanternDesc,必备的吓唬敌人的道具。
fakeCabinetDoorTrapGroupDesc,敌人可以看到这个方块。其用途是隐藏在里面的敌人可以看到玩家并从衣柜中冲出来。
fencesGroupDesc,围栏和护栏可以防止邻居进入。同样有助于防止从高处跌落。
fabricator,制造机
fabricatorDesc,将有机材料合成可用物品。\n\n使用锻铁维修。
bladeTrapDesc,用于将敌人分解成许多碎片。\n\n使用锻钢维修。
mineAirFilterDesc,放置炸弹后小心退后。将机器人变成废铁！
mineEMP,电磁脉冲炸弹
mineEMPDesc,产生电磁脉冲，暂时禁用附近的敌人。同时禁用机甲的武器一段时间。
forgeDesc,用于熔炼金属以制作工具和武器或石头以制作水泥。安装工具以提高性能或解锁配方。\n\n使用铁维修。
plantedCropsGroupDesc,将这些种子种植在农田或肥沃的土地上，以生长可供收获的植物。
burningBarrelPlayerDesc,靠近时开放火焰会提供一些热量。对热量图没有影响。
xuiTargetZombies,目标敌人
xuiZombieKills,敌人击杀数
xuiRoboticAnimals,机械动物
xuiEnemies,敌人
xuiRobots,机器人
xuiOverchargedRobots,超载机器人
xuiRadiatedRobots,辐射机器人
xuiInfernoRobots,烈焰机器人
xuiShockerRobots,电击机器人
xuiSpiderBots,蜘蛛机器人
xuiRobotDogs,机器狗
xuiDrones,无人机
xuiDroids,战斗机器人
xuiMechs,机甲
xuiForgeAheadMagazine,锻造指南
statCraftingSmeltTimeBlastFurnace,锻造炉熔炼速度
statCraftingTimeBlastFurnace,锻造炉制作速度
statNausea,恶心几率
statHealthLoss,伤害抵抗
statBurnAOERadius,燃烧AOE半径（米）
statFoodPoisoningRisk,食物中毒风险
statCureRadiationSickness,治愈辐射病
statCureNausea,治愈恶心
statEmpath,共情
statCybernetician,赛博医师
statCosmotech,宇宙科技
statExomedic,外星医生
statMiner69r,矿工69号
statNeonaut,新宇航员
statEntityDamageShock,电击伤害
statNerdDamage,机器人/棍棒武器伤害
buffNauseaName,恶心
buffNauseaDesc,服用过多药物后感到恶心。\n使用维生素治愈。\n\n最大生命值和耐力降低25%。所有属性降低2。
buffFlaregunAirdropName,即将空投
buffFlaregunAirdropDesc,"空投正在前往你的位置，请注意天空。"
buffFlaregunAirdropTooltip,你有一个即将到达的空投。
buffRadiation02UntreatedName,急性辐射病
buffRadiation02UntreatedDesc,你患有急性辐射病。如果不治疗，可能会导致严重的急性辐射病，导致死亡。\n\n耐力恢复减少25%。
buffRadiation03UntreatedName,严重急性辐射病
buffRadiation03UntreatedDesc,你患有危及生命的严重急性辐射病。立即服药。\n\n耐力恢复减少35%，所有属性降低1。
buffRadiationProtectionName,辐射防护
buffRadiationProtectionDesc,你受到进一步辐射暴露的保护。
buffRadiationSourceName,有害辐射源
buffRadiationSourceDesc,"你暴露在一个有害辐射源下，你的辐射水平将在短时间内迅速上升。"
buffRadiationSourceTooltip,你暴露在一个有害辐射源下！
buffAcidRainName,放射性酸雨
buffAcidRainDesc,"你暴露在放射性酸雨中，尽快寻找避难所以避免有害辐射暴露。"
buffAcidRainTooltip,"你暴露在放射性酸雨中，尽快寻找避难所！"
buffHeadShotsOnlyDesc,你没看过任何外星电影吗？瞄准头部！这是唯一确定的方法。
buffWeaponOverheatCooldownName,武器过热
buffWeaponOverheatCooldownDesc,你的武器已经过热，需要冷却后才能再次使用。
buffWeaponOverheatCooldownTooltip,你的武器已经过热！
buffInfection01GetBetterDesc,你有一个已治疗的轻微感染。继续服药直到感染完全消除。\n被僵尸击中会使感染恶化。
buffInfection01UntreatedDesc,你有一个轻微感染。\n未经治疗会恶化。\n被僵尸击中会使感染恶化。
buffInfection02GetBetterDesc,你有一个已治疗的严重感染。继续服药并密切关注伤口。\n被僵尸击中会使感染恶化。\n\n耐力恢复减少12.5%。
buffInfection02UntreatedDesc,你有一个严重感染。如果不治疗，可能会导致致命的感染。尽快服药。\n被僵尸击中会使感染恶化。\n\n耐力恢复减少25%。
drugAntiRadiation,抗辐射药片
drugAntiRadiationDesc,抗辐射药片可以降低你的辐射暴露并治愈急性辐射病。它还能在一段时间内保护你免受进一步的辐射暴露。\n\n可以在篝火旁的烧杯中制作。
drugAdvancedAntiRadiation,高级抗辐射药片
drugAdvancedAntiRadiationDesc,高级抗辐射药片可以完全去除任何辐射暴露并治愈急性辐射病。它还能在几天内保护你免受进一步的辐射暴露。\n\n可以在化学站制作。
drugDevRadiation,辐射测试药
drugDevRadiationDesc,一种增加你辐射量的开发用辐射药。
drugVitaminsDesc,"这些维生素可以治愈恶心和疲劳，并防止你患上感染、痢疾、恶心或疲劳。"
foodEggRotten,腐烂的蛋
foodEggRottenDesc,腐烂的蛋闻起来很糟糕。你最好不要吃这东西。
drinkJarEmpty,空水罐
drinkJarEmptyDesc,一个空的玻璃罐可以在水源处使用辅助动作装满水或用于其他配方。
torchPlayerGroupDesc,像火炬这样的开放火焰和闪烁灯光会吸引不必要的注意力。（蜡烛则不会那么明显）
lanternLight_playerDesc,这款油灯可以提供光线而不会有闪烁，从而避免吸引不必要的注意力。
candleDesc,蜡烛可以用作光源或放置在墙上。这可能会吸引不必要的注意力。
toolBustlePipe,喷吹管
toolBustlePipeDesc,一种可以安装在高级锻造炉中的工具。它可以增加气流，从而提高锻造炉的熔炼速度。
toolPreHeater,预热器
toolPreHeaterDesc,一种可以安装在高级锻造炉中的工具。它可以提高该锻造炉的制作速度。
resourceCobalt,原始钴
resourceCobaltDesc,"用于制作、锻造、维修和升级墙壁的核心资源。比钢铁更坚固。"
resourceForgedCobalt,锻钴
resourceForgedCobaltDesc,可以在安装了坩埚升级的锻造炉中制作。钴用于制作最强的物品。
resourceCharcoal,木炭
resourceCharcoalDesc,可以通过在篝火中燃烧木材制成。是制作信号弹的关键成分。
resourceNanoChip,纳米芯片
resourceNanoChipDesc,一种小型计算机芯片。用于制造高科技设备。
resourceFertilizerCell,肥料单元
resourceFertilizerCellDesc,肥料单元与农具结合使用，在肥沃的土地上种植作物。\n使用辅助动作 [action:local:Secondary]。
resourceBoneDesc,一种来自已灭绝物种的普通骨头。大概。
resourceRockSmallDesc,"用于多种配方，包括石斧和篝火。可以扔向敌人以分散注意力，也是核心锻造资源。"
resourceSnowBallDesc,你知道该怎么做！将其变成顶级的尤加果汁冰沙。\n可以扔向敌人以分散注意力。
resourceFeatherDesc,羽毛主要在鸟巢中找到或在制造机中制作。可用于制作箭矢和弩箭。
resourceCobaltBundle,一捆原始钴（6000）
resourceCobaltBundleDesc,这是一个紧凑的原始钴堆。使用此道具打开。
resourceClayLumpBundle,一堆黏土（6000）
resourceClayLumpBundleDesc,这是一个紧凑的黏土堆。使用此道具打开。
resourceCrushedSandBundle,一堆碎砂（6000）
resourceCrushedSandBundleDesc,这是一个紧凑的碎砂堆。使用此道具打开。
gunBowT0PrimitiveBowDesc,适合潜行和远程杀敌。使用箭矢作为弹药。\n按住重新装填键可使用替代弹药。\n\n使用木头修理。\n可分解为木头。
gunBowT1WoodenBowDesc,适合潜行和远程杀敌。使用箭矢作为弹药。\n按住重新装填键可使用替代弹药。\n\n可用维修工具修理。\n可分解为弓/弩零件。
gunHandgunT1Flaregun,紧急信号枪
gunHandgunT1FlaregunDesc,紧急信号枪在户外发射时有30%的概率召唤空投。空投在尸潮之夜不会发送。请注意，这也可能吸引不必要的注意力。\n\n可用维修工具修理。\n可分解为手枪零件。
gunHandgunFarmT1LaserFarmingTool,农业工具
gunHandgunFarmT1LaserFarmingToolDesc,使用主要动作 [action:local:Primary] 清除草地。\n使用次要动作 [action:local:Secondary] 施肥，需要肥料单元。\n\n可用维修工具修理。\n可分解为电动工具零件。
gunMGT2LaserAssaultRifle,激光突击步枪
gunMGT2LaserAssaultRifleDesc,这把激光突击步枪使用重型能量电池。\n\n可用维修工具修理。\n可分解为机枪零件。
gunRifleT2LaserSniperRifle,激光狙击步枪
gunRifleT2LaserSniperRifleDesc,"这把高精度、长射程的狙击步枪非常适合远距离狙杀敌人。\n\n可用维修工具修理。\n可分解为步枪零件。"
gunHandgunT2LaserPistol,激光手枪
gunHandgunT2LaserPistolDesc,一把使用纳米能量电池的重型手枪。\n\n可用维修工具修理。\n可分解为手枪零件。
gunHandgunT2LaserSMG,激光SMG
gunHandgunT2LaserSMGDesc,这把冲锋枪使用纳米能量电池。\n\n可用维修工具修理。\n可分解为手枪零件。
gunShotgunT2LaserShotgun,激光霰弹枪
gunShotgunT2LaserShotgunDesc,这把半自动霰弹枪是一种罕见且威力巨大的短程武器，能够烧毁路径上的任何东西。\n\n可用维修工具修理。\n可分解为霰弹枪零件。
gunHandgunT2LaserMagnum,激光左轮手枪
gunHandgunT2LaserMagnumDesc,这把重型手枪使用纳米能量电池。\n\n可用维修工具修理。\n可分解为手枪零件。
gunHandgunT3PlasmaPistol,等离子手枪
gunHandgunT3PlasmaPistolDesc,这把手枪使用纳米能量电池。\n\n可用维修工具修理。\n可分解为手枪零件。
gunHandgunT3PlasmaMagnum,等离子左轮手枪
gunHandgunT3PlasmaMagnumDesc,等离子左轮手枪是手枪之王。它是威力最大的，但噪音也最大。它使用纳米能量电池。\n\n可用维修工具修理。\n可分解为手枪零件。
gunShotgunT3PlasmaShotgun,等离子霰弹枪
gunShotgunT3PlasmaShotgunDesc,这把长管泵动霰弹枪使用霰弹能量电池。\n\n可用维修工具修理。\n可分解为霰弹枪零件。
gunHandgunT3PlasmaSMG,等离子SMG
gunHandgunT3PlasmaSMGDesc,这把冲锋枪使用纳米能量电池。\n\n可用维修工具修理。\n可分解为手枪零件。
gunMGT3PlasmaAssaultRifle,等离子突击步枪
gunMGT3PlasmaAssaultRifleDesc,这把等离子突击步枪使用重型能量电池。\n\n可用维修工具修理。\n可分解为机枪零件。
gunRifleT3PlasmaSniperRifle,等离子狙击步枪
gunRifleT3PlasmaSniperRifleDesc,"这把高精度、长射程的狙击步枪非常适合远距离狙杀敌人。\n\n可用维修工具修理。\n可分解为步枪零件。"
gunExplosivesT3PlasmaGrenadeLauncher,等离子榴弹发射器
gunExplosivesT3PlasmaGrenadeLauncherDesc,这把等离子榴弹发射器发射榴弹能量电池。\n\n可用维修工具修理。\n可分解为发射器零件。
gunExplosivesT3PlasmaRocketLauncher,等离子火箭发射器
gunExplosivesT3PlasmaRocketLauncherDesc,这把等离子火箭发射器发射火箭能量电池。\n\n可用维修工具修理。\n可分解为发射器零件。
gunHandgunPistolDev,开发者武器: 附近敌人瞬间死亡
gunHandgunPistolDevDesc,一把开发用手枪，发射时可杀死附近的所有敌人。
ammoFlareRound,信号弹 (弹药)
ammoFlareRoundDesc,一种信号弹，户外发射时有30%的概率召唤空投。空投在尸潮之夜不会发送。请注意，这也可能吸引不必要的注意力。可在工作台制作。
ammoNanoEnergyCell,纳米能量电池 (弹药)
ammoNanoEnergyCellDesc,纳米能量电池用作手枪的弹药。可在工作台制作。\n制作时为一组5个。
ammoHeavyEnergyCell,重型能量电池 (弹药)
ammoHeavyEnergyCellDesc,重型能量电池用作步枪和机枪的弹药。可在工作台制作。\n制作时为一组5个。
ammoShotgunEnergyCell,霰弹能量电池 (弹药)
ammoShotgunEnergyCellDesc,霰弹能量电池用作霰弹枪的弹药。可在工作台制作。\n制作时为一组5个。
ammoNanoEnergyCellAP,AP 纳米能量电池 (弹药)
ammoNanoEnergyCellAPDesc,穿甲弹特别适用于对抗装甲目标，但会对枪械造成更多磨损。它可以穿透一个敌人或一个250点耐久度的障碍物，继续伤害后面的敌人。\n制作时为一组5个。
ammoHeavyEnergyCellAP,AP 重型能量电池 (弹药)
ammoHeavyEnergyCellAPDesc,穿甲弹特别适用于对抗装甲目标，但会对枪械造成更多磨损。它可以穿透一个敌人或一个250点耐久度的障碍物，继续伤害后面的敌人。\n制作时为一组5个。
ammoShotgunEnergyCellAP,AP 霰弹能量电池 (弹药)
ammoShotgunEnergyCellAPDesc,穿甲霰弹发射单个弹丸。\n超过有效射程后伤害急剧下降。\n按住重新装填键可使用替代弹药。\n制作时为一组5个。
ammoGrenadeEnergyCell,榴弹能量电池 (弹药)
ammoGrenadeEnergyCellDesc,榴弹能量电池用作榴弹发射器的弹药。可在工作台制作。\n制作时为一组5个。
ammoRocketEnergyCell,火箭能量电池 (弹药)
ammoRocketEnergyCellDesc,火箭能量电池用作火箭发射器的弹药。可在工作台制作。\n制作时为一组5个。
thrownGrenadeEMP,电磁脉冲手榴弹
thrownGrenadeEMPDesc,拉掉销子，投掷。产生电磁脉冲，暂时禁用附近的敌人。同时禁用机甲的武器一段时间。\n使用次要动作 [action:local:Secondary] 引爆。\n使用主要动作 [action:local:Primary] 投掷。
thrownTimedChargeDesc,"一种用于精细工作的成形炸药，例如炸开保险箱或门锁。5秒后自动引爆。想要摧毁房屋？试试炸药吧。\n使用次要动作 [action:local:Secondary] 引爆。\n使用主要动作 [action:local:Primary] 投掷。"
ammoBundleNanoEnergyCell,一盒纳米能量电池（100发）
ammoBundleNanoEnergyCellAP,一盒穿甲纳米能量电池（100发）
ammoBundleHeavyEnergyCell,一盒重型能量电池（100发）
ammoBundleHeavyEnergyCellAP,一盒穿甲重型能量电池（100发）
ammoBundleShotgunEnergyCell,一盒霰弹能量电池（100发）
ammoBundleShotgunEnergyCellAP,一盒穿甲霰弹能量电池（100发）
meleeWpnClubT2LaserClub,激光棍
meleeWpnClubT2LaserClubDesc,激光棍非常耐用且打击力强。\n\n可用维修工具修理。\n可分解为棍棒零件。
meleeWpnBladeT2LaserKnife,激光匕首
meleeWpnBladeT2LaserKnifeDesc,非常适合收割植物和小树。\n可用维修工具修理。\n可分解为刀刃零件。
meleeWpnSledgeT2LaserSledgehammer,激光大锤
meleeWpnSledgeT2LaserSledgehammerDesc,锤子是敲碎头颅的最佳武器之一。\n\n可用维修工具修理。\n可分解为锤子零件。
meleeWpnBladeT2LaserSword,激光剑
meleeWpnBladeT2LaserSwordDesc,非常适合收割植物和砍杀敌人。\n可用维修工具修理。\n可分解为刀刃零件。
meleeWpnBatonT2LaserStunBaton,激光电击棒
